Jurisdiction,Year,Population,Murder,Rape,Robbery,AggAssault,BreakAndEnter,LarcenyTheft,MotorVehicleTheft,GrandTotal,PercentChange,ViolentCrimeTotal,ViolentCrimePercent,ViolentCrimePercentChange,PropertyCrimeTotal,PropertyCrimePercent,PropertyCrimePercentChange,OverallCrimeRatePer100k,OverallPercentChangePer100k,ViolentCrimeRatePer100k,ViolentCrimeRatePercentChangePer100k,PropertyCrimeRatePer100k,PropertyCrimeRatePercentChangePer100k,MurderPer100k,RapePer100k,RobberyPer100k,AggAssaultPer100k,BreakAndEnterPer100k,LarcenyTheftPer100k,MotorVehicleTheftPer100k,MurderRatePercentChangePer100k,RapeRatePercentChangePer100k,RobberyRatePercentChangePer100k,AggAssaultRatePercentChangePer100k,BreakAndEnterRatePercentChangePer100k,LarcenyTheftRatePercentChangePer100k,MotorVehicleTheftRatePercentChangePer100k
Allegany County,1976,83923,2,2,24,59,581,1384,73,2125,-8.8,-0.48468919222465096,4.1,-38.7,-0.44449564919517376,95.9,-6.8,-0.6313902158342188,-13.4,-1.3397320118687057,-41.8,-0.48235358129036165,-11.6,-0.6192014520368083,-1.7859386500158685,-0.6061744509821243,-1.3945404581193315,-0.1729764518967874,-0.5124251439829308,-0.6562761381537491,-36.7,-62.0,13.9,-50.9,-17.6,-7.8,-25.5
Allegany County,1977,82102,3,7,32,85,592,1390,102,2211,4.0,-0.464669087139398,5.7,46.0,-0.4401707805368658,94.3,2.3,-0.5300231070176961,6.4,-1.1294562358223743,49.2,-0.400688549247374,4.5,-0.3213771536477111,-1.3321393169240061,-0.5081522240221119,-1.2060169525173214,-0.09583124188176828,-0.45994593744465734,-0.44376730969446077,53.3,257.8,36.3,47.3,4.2,2.7,42.8
Allegany County,1978,79966,1,2,18,81,539,1390,100,2131,-3.6,-0.4771816528176811,4.8,-19.7,-0.4453418191500601,95.2,-2.6,-0.5477261260217003,-1.0,-1.2411910109371898,-17.5,-0.40143163416132294,4.5,-0.8712066275968137,-1.7784993166864935,-0.6636682571798237,-1.2185094739728761,-0.22199580409383055,-0.40591267695422545,-0.43862596707044577,-65.8,-70.7,-42.2,-2.2,-6.5,2.7,0.7
Allegany County,1979,79721,1,7,18,84,502,1611,99,2322,9.0,-0.4731776318006305,4.7,7.8,-0.4281363634007046,95.3,9.0,-0.3916119584347873,9.3,-1.1983112448414672,8.2,-0.2250232755898469,9.4,-0.8712066275968137,-1.3098213169358817,-0.6627257357667468,-1.1952279567147965,-0.3406601375544325,-0.06808525627732226,-0.44376730969446077,0.3,251.1,0.3,4.0,-6.6,16.3,-0.7
Allegany County,1980,80461,2,12,26,79,541,1706,108,2474,6.5,-0.4686731081564486,4.8,8.2,-0.4146916630063995,95.2,6.5,-0.2894888488067055,5.6,-1.157493005961885,7.2,-0.11192575168681929,5.5,-0.5962918906222624,-0.8560219838440193,-0.5713011586982737,-1.236112572387522,-0.226281649094665,0.0508596423686507,-0.3866412805387382,98.2,69.9,43.1,-6.8,6.8,4.9,8.1
Allegany County,1981,81781,11,13,24,101,539,1697,88,2473,6.5,-0.4536580293425089,6.0,25.2,-0.4176062484065635,94.0,-1.3,-0.32155588323032896,-1.7,-1.0160722389346468,23.2,-0.17523658635526845,-2.9,1.9237598649777912,-0.7816286505502714,-0.599576801090585,-1.0924485756486404,-0.2619077356641007,-0.0031736181217814413,-0.5385965180929605,441.1,6.6,-9.2,25.8,-2.0,-2.1,-19.8
Allegany County,1982,81858,1,18,18,80,447,1570,55,2189,-11.5,-0.46967411341071125,5.3,-21.5,-0.44129900714338094,94.7,-10.8,-0.5419301197997488,-11.6,-1.17810827812329,-21.6,-0.4059644521364117,-10.9,-0.8941161890113596,-0.3278293174584092,-0.6683808642452089,-1.2389517818092388,-0.5645955388480292,-0.1909750611095432,-0.7693856758820801,-90.9,38.3,-25.1,-20.9,-17.1,-7.6,-37.6
Allegany County,1983,82605,5,9,19,89,347,1412,67,1948,-11.0,-0.4671716002750546,6.3,4.3,-0.4644276525769408,93.7,-11.9,-0.7409473334426298,-11.8,-1.1583176168483413,3.3,-0.644271784039834,-12.7,0.22845232030139137,-1.153595317019011,-0.6589556501144385,-1.1821675933748983,-0.902105832663737,-0.44046049173682467,-0.6899804953556254,395.5,-50.5,4.6,10.2,-23.1,-10.9,20.7
Allegany County,1984,80835,2,15,6,67,361,1338,68,1857,-4.7,-0.483187684343257,4.8,-26.2,-0.4699747667256401,95.2,-3.2,-0.7793143746292437,-2.6,-1.30839679818337,-24.6,-0.6625516729229776,-1.1,-0.5962918906222624,-0.5807666506571519,-0.8059889905544568,-1.3229923806920627,-0.8311215248374174,-0.5051330446689565,-0.6728426866089087,-59.1,70.3,-67.7,-23.1,6.3,-3.2,3.7
Allegany County,1985,77655,2,7,12,70,396,1249,61,1795,-3.3,-0.48368818697038835,5.0,-1.1,-0.47570991864209194,95.0,-3.5,-0.7703683650257969,0.6,-1.2947907185568428,2.9,-0.6543777388695393,0.5,-0.5962918906222624,-1.294942650277132,-0.7296447560952165,-1.2821077650193375,-0.6615627819919072,-0.5610789869466601,-0.7042620026445562,-100.0,-51.4,108.2,8.8,14.2,-2.8,-6.6
Allegany County,1986,78947,1,11,12,97,432,1393,60,2006,11.8,-0.4676721029021859,6.0,36.0,-0.45888053842824145,94.0,10.5,-0.6258462098827868,9.9,-1.1352285120275678,33.7,-0.5125971372880834,8.7,-0.8712066275968137,-0.9304153171377673,-0.7324723203344476,-1.0958556269547008,-0.5616490204099555,-0.37447297007594327,-0.719114770225044,126.7,54.6,-1.6,36.3,7.3,9.7,-3.2
Allegany County,1987,75697,2,9,22,120,409,1390,59,2011,0.2,-0.45165601883398354,7.6,26.4,-0.4614190482929005,92.4,-1.4,-0.5529551316349828,4.6,-0.9340234557322548,31.9,-0.46295906503629464,2.8,-0.5733823292077164,-1.079201983725263,-0.601461843916739,-0.8937039161284488,-0.580131726976054,-0.28864137487211583,-0.7082608246854567,108.6,-14.7,91.2,29.0,-1.3,4.1,2.6
Allegany County,1988,76500,4,19,16,124,448,1439,81,2131,6.0,-0.4466509925626703,7.6,6.5,-0.4510769710665119,92.4,5.9,-0.4716850443924009,4.9,-0.8886698569771637,5.4,-0.37527504519032073,4.8,0.02226626757047803,-0.11952798423591497,-0.6787485997890563,-0.8732616082920863,-0.4587887403899303,-0.23520582744020643,-0.5483079430494332,97.9,108.9,-28.0,2.2,8.4,2.4,35.8
Allegany County,1989,76375,2,20,16,153,514,1505,70,2280,7.0,-0.4326369190029932,8.4,17.2,-0.43970068611748453,91.6,6.1,-0.3458739093354736,7.2,-0.7361168429827666,17.4,-0.25437512969082965,6.3,-0.5733823292077164,-0.015377317624668003,-0.6787485997890563,-0.6563460084729057,-0.22467445721935203,-0.12821518996468326,-0.6294269044505594,-49.9,5.4,0.2,23.6,14.9,4.8,-13.4
Allegany County,1990,74946,2,17,15,206,464,1620,66,2388,4.7,-0.40911329552782094,10.0,24.6,-0.4339655342010327,90.0,2.9,-0.21924377339935758,6.7,-0.45781066880379867,27.0,-0.15517329367864732,4.9,-0.5733823292077164,-0.2757539841527857,-0.6872312925067497,-0.23273596275272612,-0.3690538606849603,0.10023074100260687,-0.6499922749466196,-100.0,-13.4,-4.5,37.2,-8.0,9.7,-3.9
Allegany County,1991,76175,1,20,15,282,511,1580,60,2469,3.4,-0.369073085357315,12.9,33.6,-0.43387151531715645,87.1,2.9,-0.18465673627053805,1.7,-0.045917531018926476,31.5,-0.18853780631495407,-1.6,-0.8712066275968137,-0.007937984295293106,-0.6900588567459808,0.30841735302653844,-0.23056749409549945,-0.004249501627122006,-0.7031194820614417,131.3,15.7,-1.6,34.7,8.4,-4.0,-10.6
Allegany County,1992,76925,1,12,16,333,483,1749,97,2691,9.0,-0.34705096976353667,13.5,13.8,-0.41713615398718223,86.5,8.3,-0.022746562461673333,7.9,0.17301665933519494,12.7,-0.037097100852162015,7.2,-0.8712066275968137,-0.8039466505383959,-0.6796911212021334,0.664454214509853,-0.34548171318037135,0.23411846611164144,-0.4329133641548735,-1.0,-40.6,5.6,16.9,-6.4,9.6,60.1
Allegany County,1993,75274,1,15,21,343,384,1591,102,2457,-8.7,-0.33804192247517284,15.5,5.0,-0.44082891272399966,84.5,-10.8,-0.17022972078328896,-6.7,0.31402512091920526,7.3,-0.23646678326466014,-8.9,-0.8712066275968137,-0.4840553173752799,-0.6127721008736634,0.7939221641401493,-0.6610270513668028,0.042850287384449195,-0.3792148967484942,2.2,27.7,34.1,5.3,-18.8,-7.0,7.5
Allegany County,1994,75891,2,13,18,302,386,1638,75,2434,-0.9,-0.36056454069608246,13.8,-11.8,-0.4387604972787219,86.2,1.1,-0.20607675926470692,-1.7,0.05262346991258943,-12.6,-0.2316367313239921,0.2,-0.5733823292077164,-0.6923566505977738,-0.6523580002228991,0.46570955498966143,-0.6650450310550851,0.09640537742806324,-0.5888674237499963,98.4,-14.0,-15.0,-12.7,-0.3,2.1,-27.1
Allegany County,1995,74394,1,16,18,372,387,1487,71,2352,-3.4,-0.3245283515426271,17.3,21.5,-0.4532394053956659,82.7,-7.3,-0.23486779017157497,-1.4,0.4884303234046918,23.9,-0.3440654788044656,-5.5,-0.8712066275968137,-0.36502598410528314,-0.647645393157514,1.0454761189042776,-0.6339726547990356,-0.09438463085231119,-0.608290273662942,-49.0,25.6,2.0,25.7,2.3,-7.4,-3.4
Allegany County,1996,74833,2,15,13,299,450,1681,81,2541,8.0,-0.3635675564588704,12.9,-19.2,-0.4281363634007046,87.1,13.7,-0.08738463184995934,7.4,0.04520197193448381,-19.6,-0.09037628918230027,13.1,-0.5504727677931704,-0.476615984045905,-0.7117368492467527,0.47536286702349956,-0.416733886319243,0.20148333311631458,-0.535168956343617,98.8,-6.8,-28.2,-20.1,15.6,12.4,13.4
Allegany County,1997,75155,1,15,8,340,441,1739,69,2613,2.8,-0.34604996450927406,13.9,10.6,-0.424657664697283,86.1,1.7,-0.03622857693447351,2.4,0.22950250505744466,10.2,-0.06317938133176945,1.2,-0.8712066275968137,-0.476615984045905,-0.7758283053359916,0.7751833819568169,-0.4555743566393047,0.2822941386285532,-0.6288556441590022,-50.2,-0.4,-38.7,13.2,-2.4,3.0,-15.2
Allegany County,1998,72871,2,18,16,249,446,1750,95,2576,-1.4,-0.3855896720526487,11.1,-21.7,-0.4207088715744801,88.9,1.9,0.00043746242613309084,1.7,-0.1547661680311449,-19.2,0.04932367464009886,5.1,-0.5504727677931704,-0.12696731756528987,-0.6683808642452089,0.14658241598866817,-0.388072297876163,0.3870134664816908,-0.40834917161791273,106.3,23.8,106.3,-24.5,4.3,3.8,42.0
Allegany County,1999,71845,2,19,20,244,394,1624,78,2379,-7.6,-0.3865906773069113,11.9,-0.7,-0.4390425539303507,88.1,-8.5,-0.140493688861972,-6.3,-0.14322161562075827,0.7,-0.11898505836933414,-7.2,-0.5504727677931704,-0.0004986509659184738,-0.6137146222867406,0.13465773641745687,-0.5584346366593298,0.2183388413666483,-0.5328839151773882,-100.0,7.1,26.8,-0.6,-10.4,-5.9,-16.7
Allegany County,2000,74930,2,24,21,224,421,1562,124,2378,-7.6,-0.39259670883248726,11.4,-4.2,-0.43800834620771184,88.6,0.5,-0.22724478198835613,-4.2,-0.27598396834020655,-8.2,-0.1973062082995516,-3.6,-0.5504727677931704,0.41610401547906994,-0.6118295794605865,-0.09645391051030903,-0.5222728194647898,0.008182929990145598,-0.20783680928132622,266.9,21.1,0.7,-12.0,2.5,-7.8,52.4
Allegany County,2001,76043,1,22,29,268,426,1805,119,2670,12.3,-0.3680720801030523,12.0,18.1,-0.41516175742578076,88.0,11.5,-0.014556553669785236,10.6,-0.03231145139239912,16.4,0.009568631743831022,9.9,-0.8712066275968137,0.1854846822684513,-0.5166349167398053,0.2073414976134124,-0.526826529778176,0.353780620427841,-0.25925023552147664,-50.7,-9.7,36.1,17.9,-0.3,13.9,-5.4
Allegany County,2002,77216,1,26,22,187,487,1557,89,2368,-11.3,-0.4106148034092149,9.9,-26.6,-0.4355638552269291,90.1,-9.2,-0.2945918542847283,-12.7,-0.5126472927531361,-27.7,-0.23416322003141854,-10.6,-0.8712066275968137,0.5425726820784416,-0.6071169723952012,-0.4184202589330193,-0.33798148442891096,-0.07334513119231988,-0.49460947564305396,-100.0,16.4,-25.3,-31.3,12.6,-15.1,-26.3
Allegany County,2003,74893,1,22,31,208,555,1631,93,2541,7.3,-0.3971012324766692,10.3,11.5,-0.4218370981809952,89.7,6.8,-0.08914863374359662,10.6,-0.3250483160843504,14.9,-0.025653593177348402,10.2,-0.8712066275968137,0.22268134891532526,-0.485531710108263,-0.2168363899911107,-0.04225817937133847,0.11959664409873541,-0.44376730969446077,133.5,-12.8,45.3,14.7,17.5,8.0,7.7
Allegany County,2004,74325,1,23,27,275,488,1481,55,2349,-7.6,-0.36556956696739573,13.8,24.0,-0.4458119135694414,86.2,-11.2,-0.23556079091550391,-6.8,0.035718946740237456,25.0,-0.2632921486582169,-10.5,-0.8712066275968137,0.3342713488559471,-0.533600302175192,0.3072816692578517,-0.2686043684779044,-0.10179627277798994,-0.7305399760561886,-100.0,5.3,-12.2,33.2,-11.4,-8.5,-40.4
Allegany County,2005,74434,1,30,15,214,460,1531,57,2308,-1.7,-0.3981022377309318,11.3,-20.0,-0.44355546035641114,88.7,1.2,-0.27317183129055944,-1.9,-0.3271098433004909,-20.1,-0.2423371540848568,1.0,-0.8712066275968137,1.0335686818171774,-0.6853462496805957,-0.16118788532545703,-0.372000379123034,-0.024930373451999343,-0.7156872084757007,134.3,30.2,-44.5,-22.3,-5.9,3.2,3.5
Allegany County,2006,73841,1,29,37,215,542,1586,83,2493,8.0,-0.3870911799340427,11.3,8.5,-0.4282303822845809,88.7,8.0,-0.09960664497016165,8.9,-0.19269826880813032,9.3,-0.061841828486661234,8.8,-0.8482970661822677,0.9591753485234294,-0.4035323471705604,-0.1401777356047511,-0.06127661656254111,0.08385340319909125,-0.5111760240982135,0.8,-2.6,148.6,1.3,18.8,4.4,46.8
Allegany County,2007,71977,1,20,35,207,536,1631,92,2521,1.1,-0.3971012324766692,10.4,-7.1,-0.4237174758585204,89.6,2.2,-0.020037559553587155,3.7,-0.2665009431459602,-4.7,0.04531101610477456,4.8,-0.8482970661822677,0.10365201564532876,-0.41767016836671605,-0.16062004344111347,-0.032615028119461036,0.22503322762209993,-0.42320193919840066,-100.0,-29.2,-3.0,-1.2,1.5,5.5,13.7
Allegany County,2008,71806,1,17,34,188,517,1657,49,2463,-2.3,-0.40811229027355833,9.7,-8.4,-0.42710215567806575,90.3,-1.6,-0.06564960851764093,-2.1,-0.38936796522793415,-8.2,0.01358129027915532,-1.4,-0.8482970661822677,-0.2013606508590378,-0.4299229467367176,-0.3071232496017119,-0.09877776031984198,0.2747629540911698,-0.7636730729665078,139.3,-14.8,-2.6,-9.0,-3.3,1.8,-46.6
Allegany County,2009,72312,1,25,38,259,606,1622,49,2600,5.6,-0.36657057222165834,12.4,34.6,-0.42202513594874774,87.6,2.4,0.038552503342227706,4.8,0.0744756584036788,33.6,0.05303909920984352,1.7,-0.8482970661822677,0.6095266820428146,-0.3799693118436344,0.2402763269053299,0.2173033084916939,0.19765796954177042,-0.7659581141327365,-0.7,46.0,11.0,36.8,16.4,-2.8,-0.7
Allegany County,2010,72721,4,26,48,234,596,1921,49,2878,10.7,-0.3720761011201029,10.8,-3.4,-0.3948536785085087,89.2,12.7,0.26667574823012613,10.1,0.0014975949523050715,-3.9,0.3351884410362527,12.1,0.09099495181411581,0.6987986819953118,-0.25367144249131096,0.0335818810043308,0.16801609098209855,0.6740352771841837,-0.7682431552989655,297.8,3.4,25.6,-10.2,-2.2,17.8,-0.6
Allegany County,2011,75799,6,30,62,153,608,1866,43,2768,-3.8,-0.40260676137511375,9.1,-19.6,-0.39946060381844545,90.9,-1.9,0.07402154141786628,-7.7,-0.4021494339680051,-22.8,0.18062677893487494,-5.9,0.6408244257632184,0.9814933485115542,-0.10475305922513851,-0.6478283802077546,0.12113966128547246,0.45909766133950164,-0.8293680064955888,43.9,10.7,23.9,-37.3,-2.1,-6.8,-15.8
Allegany County,2012,75413,3,22,42,201,571,1904,67,2810,1.5,-0.39409821671388123,9.5,6.8,-0.3971101317215389,90.5,1.0,0.12083059166688809,2.0,-0.30195921126357694,7.3,0.2179296416151115,1.5,-0.25264846940407326,0.20780268225657572,-0.35075114803824614,-0.28043468103757196,0.0008681359495575973,0.5344095067133335,-0.6459934529057191,-49.7,-26.3,-31.9,32.0,-5.6,2.6,56.6
Allegany County,2013,73834,4,28,63,154,547,1787,54,2637,-6.2,-0.40360776662937636,9.4,-7.1,-0.4115890398384829,90.6,-6.1,0.023432487111049675,-4.1,-0.37699880193109114,-5.1,0.11649855086108234,-4.0,0.06808539039956994,0.8550246819121825,-0.07176480976744208,-0.6092151320724032,-0.042793909996442885,0.40948747748213615,-0.7356813186802036,36.2,30.0,53.2,-21.7,-2.2,-4.1,-17.7
Allegany County,2014,73299,2,15,31,153,550,1787,42,2580,-2.2,-0.42763189273167995,7.8,-19.3,-0.41243520979336923,92.2,-0.4,-0.009138547853612879,-1.4,-0.6367512311647944,-18.7,0.12489541038870507,0.4,-0.5504727677931704,-0.43941931739903106,-0.47704901739056965,-0.6086472901880599,-0.017346705303988724,0.43064651975383156,-0.8259404447462453,-49.6,-46.0,-50.4,0.1,1.3,0.7,-21.7
Allegany County,2017,71616,4,14,58,168,469,1724,46,2483,-3.8,-0.406110279765033,9.8,21.4,-0.42559785353604557,90.2,-5.9,-0.042339583494574805,-1.5,-0.36256811141810763,24.2,0.03631968864599256,-3.7,0.11390451322866166,-0.5138126506927789,-0.11229323052975482,-0.46157624214311804,-0.27315807879129106,0.3939469379605518,-0.7865234846287968,104.7,-4.5,91.5,12.4,-12.7,-1.3,12.1
Allegany County,2018,70577,2,20,42,189,404,1182,57,1896,-23.6,-0.4016057561208511,13.3,3.7,-0.4816331083262963,86.7,-26.6,-0.53418111148127,-22.5,-0.2891777425235057,5.2,-0.5569593066508345,-25.5,-0.5275632063786246,0.1408486822922027,-0.3149353343413186,-0.2730527365411076,-0.49414696164681404,-0.4817026927748755,-0.6916942762302971,-49.3,45.0,-26.5,14.2,-12.6,-30.4,25.7
Allegany County,2019,70140,2,24,44,160,349,1111,61,1749,-7.8,-0.4141183217991342,13.0,-9.9,-0.49310341215919995,87.0,-7.4,-0.6556452418717336,-7.2,-0.42688776056169114,-9.3,-0.675481350425689,-6.8,-0.5275632063786246,0.5797693487253156,-0.2847746491228533,-0.4984859646254393,-0.6945102154358215,-0.5902473842025571,-0.6562761381537491,-100.0,20.7,5.4,-14.8,-13.1,-5.4,7.7
Allegany County,2020,69699,1,19,42,169,313,926,59,1529,-12.6,-0.41261681391774024,15.1,1.3,-0.5140696232636058,84.9,-14.7,-0.8445824446938291,-12.0,-0.40091251763832103,2.0,-0.9030139510768519,-14.1,-0.8482970661822677,0.0664553489984548,-0.3073951630367023,-0.41671673327998904,-0.8244248920236137,-0.8955592144958378,-0.6699863851511225,143.5,-20.3,-3.9,6.3,-9.7,-16.1,-2.7
Allegany County,2015,72230,3,24,58,133,486,1737,49,2490,62.9,-0.41912334807044743,8.8,-5.6,-0.422495230368129,91.2,75.0,-0.05481359688529651,57.1,-0.5229549288338387,-8.9,0.05051261050241709,68.9,-0.20682934657498137,0.5053760154315676,-0.11889088042129413,-0.7483363937365374,-0.22494232253190424,0.3909583726679394,-0.7659581141327365,189.5,21.9,33.3,-24.1,49.8,81.0,-19.9
Allegany County,2016,71622,5,16,65,159,388,1642,44,2319,-6.9,-0.4056097771379017,10.6,12.4,-0.44111096937562844,89.4,-8.7,-0.18679873856995471,-6.1,-0.3567958352129141,13.3,-0.135035692510631,-7.9,0.4346383730323049,-0.30551131747028476,-0.019926132048204835,-0.533124319570387,-0.5763816126003236,0.25683156233549553,-0.802518772792399,68.1,-32.8,13.0,20.6,-19.5,-4.7,-9.4
Anne Arundel County,1975,331390,16,74,413,1514,5662,12736,1986,22401,-6.9,0.48128087813880566,9.0,12.4,1.2803747943986843,91.0,-8.7,2.032000643287791,-6.1,0.7419981709899736,13.3,2.283928627867326,-7.9,-0.06937197808770582,-0.30551131747028476,0.29864610557183496,0.8007362667522702,2.5493387195707036,2.1104592994253975,2.2702903354939226,68.1,-32.8,13.0,20.6,-19.5,-4.7,-9.4
Anne Arundel County,1976,340345,10,77,330,619,4653,11535,1520,18744,-16.3,-0.00971219907702385,5.5,-48.6,1.0287802611458137,94.5,-13.1,1.2430507963584472,-18.5,-0.5122349873099081,-50.0,1.5794098209523437,-15.4,-0.5046536449640786,-0.2831933174821603,0.03851019556257172,-0.7608289151920922,1.6345786772051143,1.5677358422869894,1.3979758702860379,-39.1,1.3,-22.2,-60.2,-20.0,-11.8,-25.5
Anne Arundel County,1977,347538,16,118,396,656,5091,10783,1436,18496,-1.3,0.06536319499267486,6.4,14.5,0.9913607453630623,93.6,-2.2,1.1262486709725972,-3.4,-0.36009427875873895,12.1,1.4142963530728914,-4.3,-0.11519110091679773,0.5648906820665658,0.19779631437259168,-0.7216478251723972,1.8965509528811166,1.2252462597536107,1.207174932905924,56.7,50.1,17.5,3.8,7.1,-8.5,-7.5
Anne Arundel County,1978,363169,17,68,349,710,4694,10120,1161,17119,-7.4,0.04434208465315922,6.7,-3.5,0.8658455353882558,93.3,-7.7,0.7430822596474941,-11.4,-0.4685306103277294,-7.7,0.9818209331546132,-11.7,-0.09228153950225167,-0.5733273173277773,0.0300275028448783,-0.6836024189213892,1.4347511540412115,0.8473720641557015,0.673046560299917,1.7,-44.9,-15.7,3.6,-11.8,-10.2,-22.6
Anne Arundel County,1979,361749,13,84,301,728,4430,10633,1264,17453,2.0,0.03533303736479537,6.5,-1.6,0.8989401825126991,93.5,2.2,0.8128863345814328,2.4,-0.48378591172716906,-1.2,1.0669784642931603,2.6,-0.344286715062257,-0.23855731750591175,-0.09155775944205989,-0.6512354315138151,1.252870606818302,1.029913632228466,0.8427108668924134,-23.2,24.0,-13.4,2.9,-5.3,5.5,9.3
Anne Arundel County,1980,370099,20,117,352,815,5444,12215,1353,20316,16.4,0.12442250499417117,6.4,15.8,1.1513808857204562,93.6,16.4,1.231647784117434,13.8,-0.3147406800036479,13.2,1.5303662166317142,13.8,0.06808539039956994,0.38634668216157086,0.020602288714107894,-0.5433454734885683,1.9128907369467976,1.4617015457051024,0.9352550341246842,50.4,36.1,14.3,9.4,20.1,12.3,4.6
Anne Arundel County,1981,376172,23,85,488,820,5105,12638,1276,20435,0.6,0.18047879923287954,6.9,8.6,1.15203901790759,93.1,16.4,1.1958007456360158,-1.0,-0.21537506818567584,6.8,1.4701020301104557,-1.6,0.22845232030139137,-0.2831933174821603,0.34671469763876395,-0.5558379949441231,1.6077921459498994,1.5323512292224588,0.7844423171535763,13.1,-28.5,36.4,-1.0,-7.7,1.8,-7.2
Anne Arundel County,1982,376525,19,83,420,844,4614,11667,1128,18775,-8.1,0.1554536678763133,7.3,-3.5,1.000668614866812,92.7,-8.5,0.9148204440066241,-8.2,-0.27144860846469737,-3.6,1.148866421810333,-8.6,-0.02355285525861389,-0.3278293174584092,0.17517580045874265,-0.5206317981148322,1.2550135293187197,1.2203450126737265,0.5582232416969147,-17.5,-2.4,-14.0,2.8,-9.7,-7.8,-11.7
Anne Arundel County,1983,379967,13,71,465,935,4392,10067,951,16894,-10.0,0.21451297787780962,8.8,8.6,0.8127248659981692,91.2,-11.5,0.5744940786698588,-10.8,-0.1568276952472854,7.7,0.7267941906873396,-12.3,-0.39010583789134895,-0.5733273173277773,0.27791063448414016,-0.3962744254436265,1.0688471370949761,0.6833596008971344,0.27659191795920196,-32.2,-15.2,9.7,9.8,-5.7,-14.5,-16.5
Anne Arundel County,1984,388659,16,97,416,1085,4269,10131,941,16955,0.4,0.2795783194048818,9.5,8.8,0.8062375630107073,90.5,-0.4,0.5217000219959954,-1.9,-0.05498825076994464,6.3,0.6462437860152754,-2.7,-0.22973890798952742,-0.10464931757716545,0.1327623368702758,-0.20831876172595964,0.9148245823774903,0.6323149056993147,0.2297485740515093,20.3,33.6,-12.5,13.4,-5.0,-1.6,-3.3
Anne Arundel County,1985,392718,16,113,417,1204,4675,9602,1121,17148,1.1,0.347646676694742,10.2,8.4,0.811596639391654,89.8,0.4,0.5242830247688218,0.1,0.06994029852816984,7.3,0.6267006527784187,-0.7,-0.22973890798952742,0.17804534893907667,0.12522216556565952,-0.05273008541586662,1.1612606699254675,0.4390145025731462,0.47710428029578833,-1.0,15.3,-0.8,9.8,8.4,-6.2,17.9
Anne Arundel County,1986,399108,20,133,369,979,5382,11299,1533,19715,15.0,0.22302152253904214,7.6,-14.2,1.0763538163872008,92.4,18.3,0.8854624124910871,13.1,-0.21661198451535996,-15.6,1.1043556354647917,16.4,-0.02355285525861389,0.512815348760942,-0.0039032680258951156,-0.4008171605183737,1.5847557290704148,0.9005685263642019,1.0409381880627713,23.0,15.8,-12.9,-20.0,13.3,15.8,34.6
Anne Arundel County,1987,412522,19,115,383,895,4539,11676,1676,19303,-2.1,0.17847678872435424,7.3,-5.9,1.0459857168951692,92.7,-1.8,0.7213472363151756,-5.3,-0.35597122432645795,-9.0,0.935898285472569,-5.0,-0.11519110091679773,0.1110913489747034,-0.0010757037866640199,-0.5615164137875572,0.9199140233159808,0.8997317280822706,1.1677579727884755,-8.1,-16.3,0.4,-11.6,-18.4,15.8,5.8
Anne Arundel County,1988,422647,18,83,420,975,4134,11577,1801,19008,-1.5,0.2205190094033855,7.9,5.9,1.0103525599060668,92.1,-2.1,0.6067501132963719,-3.9,-0.3077314874687702,3.4,0.7920370461320556,-4.5,-0.1839197851604355,-0.5063733173634041,0.061130709476420755,-0.48372207563251085,0.5925826113772549,0.7907088662077708,1.2808675105168064,-7.5,-29.6,7.0,6.3,-11.1,-3.2,4.9
Anne Arundel County,1989,424124,20,124,468,895,4009,11643,1805,18964,-0.2,0.22602453830183009,7.9,0.7,1.0051815212928725,92.1,-0.3,0.5903070956449661,-0.6,-0.3023715167068049,0.4,0.7716765194898552,-0.7,-0.09228153950225167,0.20780268225657572,0.16386554350181812,-0.5955869268481615,0.5044549235475978,0.7978814229100405,1.2780112090590203,10.7,48.9,11.0,-8.5,-3.4,0.2,-0.1
Anne Arundel County,1990,427239,16,131,462,1017,4329,12448,2197,20600,8.6,0.2855843509304577,7.9,7.9,1.1478081681331582,92.1,8.7,0.811059332620165,7.8,-0.19805823957009544,7.1,1.013253425014653,7.9,-0.3213771536477111,0.31939268219719763,0.1431300724141232,-0.44226961807544224,0.6868712013956111,0.9991911810204104,1.7841478273787232,-20.6,4.9,-2.0,12.8,7.2,6.1,20.8
Anne Arundel County,1991,434253,12,126,643,1067,4259,13702,2084,21893,6.3,0.3966959341536118,8.4,13.7,1.2485023927646322,91.6,5.6,0.9495334812707039,4.6,-0.01252079011745025,11.8,1.143218976464321,3.9,-0.5275632063786246,0.1929240155978262,0.5201386376449395,-0.3985457929810002,0.5998149748161626,1.2881256735101756,1.588205547374594,-26.2,-5.4,36.9,3.2,-3.2,8.3,-6.7
Anne Arundel County,1992,438543,12,136,655,1177,4205,13639,2101,21925,0.1,0.46276228093494665,9.0,7.1,1.2391005043770063,91.0,-0.5,0.9230734528661424,-0.8,0.09426631967862767,6.1,1.0926892023157937,-1.5,-0.5504727677931704,0.341710682185322,0.5323914160149412,-0.2696456852350474,0.5411524713672421,1.2340924130197435,1.5836354650421365,-1.0,6.9,0.9,9.2,-2.2,-1.4,-0.2
